,Float
BTC,17493775.0
XRP,41040405095.0
ETH,104495804.0
XLM,19129175785.0
EOS,906245118.0
LTC,60118550.0
BCH,17578663.0
TRX,66654507757.0
ADA,25927070538.0
BSV,17577923.0
DASH,8580668.0
ZEC,5721969.0
XMR,16736923.0
ETC,107690317.0
XTZ,781845825.0
IOT,2779530283.0
NEO,65000000.0
BNB,144443333.0
ONT,537500000.0
DOGE,117931883332.0
LINK,350000000.0
XEM,8999999999.0
MAID,452552412.0
ZIL,8238440891.0
DCR,9187896.0
MANA,1050141509.0
LSK,113995088.0
ZRX,583926430.0
BTG,17413924.0
SC,39041924297.0
STEEM,306899983.0
WAVES,100000000.0
HC,43529781.0
GAS,10128375.0
QTUM,89198248.0
DGB,11336847487.0
REP,11000000.0
ICX,400230000.0
BAT,1229949089.0
OMG,140245398.0
RDD,28808713174.0
SNT,3470483788.0
BCD,153756875.0
BTS,2684740000.0
IOST,12013965609.0
KMD,111512340.0
POLY,288427107.0
NANO,133248289.0
GNO,1104590.0
AE,233020472.0
STRAT,99180986.0
WTC,40997359.0
XZC,6618688.0
POWR,395889007.0
ELF,280000000.0
XVG,15172086051.0
PIVX,56781166.0
ZEN,5639050.0
LRC,788984491.0
PAY,114347861.0
DGD,2000000.0
AION,274151662.0
QASH,350000000.0
PPT,53252246.0
WAN,106152493.0
GNT,959842000.0
FCT,8745102.0
STORJ,135787439.0
MONA,65223675.0
NAS,45500000.0
